職員ID,職員名,担当フロア,役職,常勤/パート,status,can_help_other_floor
EMP001,A,1F,班長,常勤,,1
EMP002,B,1F,主任,常勤,,1
EMP003,C,1F,副主任,常勤,,1
EMP004,D,1F,副主任,常勤,育休,1
EMP005,E,1F,,常勤,,1
EMP006,F,1F,,常勤,,1
EMP007,G,1F,,常勤,,1
EMP008,H,1F,,常勤,,1
EMP009,I,1F,,常勤,,1
EMP010,J,1F,,常勤,,1
EMP011,K,1F,,常勤,,1
EMP012,L,1F,,常勤,,1
EMP013,M,1F,,常勤,,1
EMP014,N,1F,,常勤,,0
EMP015,O,1F,,常勤,,1
EMP016,P,1F,,常勤,,0
EMP017,Q,1F,,パート,,0
